name,lat,lon,a_greenland,a_west_antarctic,a_east_antarctic
Halifax,44.667,-63.583,0.2232,1.2301,1.0656
Hamada,34.900,132.067,1.1715,1.0809,1.1705
"Hilo, Hawaiian Is.",19.733,-155.067,1.2013,1.2940,1.2118
Honiara,-9.433,159.950,1.1314,1.1951,1.1553
"Honolulu, Hawaiian Is.",21.300,-157.867,1.2062,1.2958,1.2131
Inhambane,-23.917,35.500,1.1387,1.1719,0.9673
Isla Guadalupe,28.883,-118.300,0.9772,1.2791,1.1160
Ittoqqortoormiit/Scoresbysund,70.483,-21.967,-3.9100,1.1320,1.0920
"Johnston Is., Hawaiian Is.",16.733,-169.533,1.2317,1.2749,1.2248
"Jolo, Sulu",6.067,121.000,1.1581,1.1597,1.1553
Juan Fernandez Island,-33.370,-78.500,1.2531,0.7799,1.1389
Kaliningrad,54.950,20.217,0.2615,0.9882,1.0565
Kanmen,28.083,121.283,1.1424,1.0465,1.1403
"Kanton Is., Phoenix Is.",-2.490,-171.430,1.1881,1.2143,1.2160
"Kapingamarangi, Caroline Is.",1.100,154.783,1.1819,1.2117,1.1886
"Karachi, Manoro Island",24.800,66.967,0.9861,0.9734,1.0829
Keppel Harbour,1.467,103.833,1.0938,1.1295,1.0928
Kerguelen Island,-49.345,70.220,1.1349,1.1367,0.4756
"Key West, FL",24.550,-81.800,0.8363,1.2456,1.0996
Ko Lak,11.783,99.817,1.1006,1.0744,1.1107
Ko Taphao Noi,7.833,98.433,1.1111,1.1087,1.1184
Kushimoto,33.490,135.460,1.2023,1.1136,1.1935
Kushiro,42.580,144.220,1.1717,1.1304,1.1944
Kwajalein,8.733,167.733,1.2264,1.2353,1.2203
La Coruna,43.213,-8.232,0.3399,1.0995,1.0882
La Guaira,10.617,-66.933,0.9336,1.1536,1.0929
La Jolla (Scripps Pier) CA,32.867,-117.267,0.9042,1.2471,1.0753
La Libertad,-2.200,-80.917,1.0774,1.0986,1.1340
Lagos,6.421,3.407,0.9674,1.0766,1.0654
Laohutan (Dalian),38.867,121.683,1.1056,1.0196,1.1340
"Las Palmas, Canary Is.",28.133,-15.417,0.6840,1.1412,1.1093
"Legaspi, Albay",13.150,123.750,1.1862,1.1436,1.1782
Lerwick,60.150,-1.133,-0.3682,1.1023,1.1101
Lobito,-12.333,13.567,1.0902,1.0999,1.0280
Lombrum (Manus),-2.033,147.367,1.1505,1.1962,1.1595
Lord Howe Is.,-31.517,159.067,1.0346,1.0822,0.9824
Lusi,32.133,121.617,1.1437,1.0449,1.1489
Macquarie Is.,-54.500,158.933,1.0341,0.7341,0.4952
Madras,13.100,80.300,1.0907,1.0754,1.1244
Majuro,7.100,171.367,1.2207,1.2370,1.2197
Malakal,7.333,134.467,1.1893,1.1837,1.1829
Male,4.167,73.500,1.1217,1.1540,1.1368
Malin Head,55.367,-7.333,-0.1880,1.1039,1.0947
Manado (Bitung),1.433,125.200,1.1473,1.1796,1.1466
"Manila, South Harbor",14.583,120.967,1.1753,1.1254,1.1684
"Manzanillo, Col.",19.050,-104.333,0.9835,1.2277,1.1084
Mar del Plata,-38.050,-57.550,1.2494,0.7375,1.0468
Marion Is.,-46.867,37.867,1.2185,1.1104,0.6494
Marmagao,15.417,73.800,1.0560,1.0417,1.1049
Marseille,43.300,5.350,0.4434,1.0373,1.0688
Mawson,-67.600,62.867,1.0993,0.6654,-1.1979
Mera,34.550,139.490,1.2103,1.1293,1.2008
"Midway Is, Hawaiian Is.",28.217,-177.367,1.2395,1.2762,1.2249
Minami-tori-shima,24.180,153.580,1.2600,1.2078,1.2303
"Minicoy, Laccadive Is.",8.283,73.050,1.1090,1.1228,1.1377
Mirny (Antarctica),-66.550,93.017,1.0451,0.6889,-1.3841
Mogadishu,2.017,45.333,1.0429,1.0951,1.0658
Mombasa,-4.050,39.667,1.0429,1.0987,1.0325
Montevideo,-34.900,-56.250,1.2190,0.7833,1.0459
Moulmein (Mawlamyine),16.483,97.617,1.0850,1.0368,1.1022
Mtwara,-10.283,40.183,1.0796,1.1388,1.0275
Murmansk,68.967,33.050,-0.0877,1.0123,1.0779
Nagaevo Bay,59.733,150.700,0.9054,1.0830,1.1179
Nagasaki,32.440,129.520,1.1857,1.0897,1.1810
Naha,26.217,127.667,1.2062,1.1130,1.1938
Nain,56.550,-61.700,-0.5965,1.1915,1.0448
"Nauru, Gilbert Is.",-0.533,166.900,1.1854,1.2197,1.2001
